sample_id,ensemble_ids,n_ensemble_models,model_family,scoring_space,feature_space,predicted_nas_score,predicted_fibrosis_stage,dataset,mouse_model,mouse_treatment,time_point,characteristics_ch1,source_name_ch1,title
GSM8316683,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-6.485091120789845,-2.0928036117455933,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 3"
GSM8316684,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-5.060238128402426,-0.39949116558160247,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 4"
GSM8316685,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-7.957368432998428,-3.2840101039635927,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 5"
GSM8316686,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-5.6414666249261165,-0.2530410585268599,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 6"
GSM8316687,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-7.801776510481122,-3.43937847721467,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 7"
GSM8316688,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-9.044741934209998,-4.098834888918903,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 8"
GSM8316689,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-6.592137707390973,-2.1105119132564316,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 9"
GSM8316690,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-6.8520253762452645,-2.089441128260208,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 10"
GSM8316709,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-10.950055167727356,-4.4490563837065045,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 1"
GSM8316710,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-12.271713749027672,-6.132699819723867,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 2"
GSM8316711,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-13.187563460291628,-6.750618965085736,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 3"
GSM8316712,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-11.0784781076871,-4.731029172840313,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 4"
GSM8316713,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-11.629359906547982,-4.005572534883967,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 5"
GSM8316714,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-10.569335504780028,-4.273329491681651,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 6"
GSM8316715,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-13.425552391453934,-7.723180025332575,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 7"
GSM8316716,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-13.318907811555075,-7.2187595046503725,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 8"
GSM8316717,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-15.429426989167098,-8.574966194252681,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 9"
GSM8316718,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-10.24874859721471,-0.8990321664822076,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 10"
