sample_id,ensemble_ids,n_ensemble_models,model_family,scoring_space,feature_space,predicted_nas_score,predicted_fibrosis_stage,dataset,mouse_model,mouse_genotype,mouse_treatment,time_point,characteristics_ch1,source_name_ch1,title
GSM4182993,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.183737565448533,2.2851944296026723,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,22_L8.D710: Nlrp3+GS  liver 4
GSM4182994,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.074530370082387,2.2873780915924065,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,23_L8.D711: Nlrp3+GS  liver 5
GSM4182995,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.1517266146238345,2.2869340341146565,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,24_L8.D712: Nlrp3+GS  liver 6
GSM4182996,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.080395121767662,2.281458108601132,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: M",Liver,25_L8.D701: WT_con diet liver #1P
GSM4182997,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.063394069790801,2.282068461828181,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: M",Liver,26_L8.D702: WT_con diet liver #2P
GSM4183000,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.184525210246424,2.28709829505112,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: M",Liver,29_L1.D705: Nlrp3 KI_con diet liver #1P
GSM4183001,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.1821774391212205,2.2779151604997487,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,30_L1.D706: Nlrp3 KI_ASK1 Inhibitor liver #1P
GSM4183002,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.174208204629139,2.2908935643800765,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,31_L1.D707: Nlrp3 KI_ASK1 Inhibitor liver #2P
GSM4183003,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.181946279757984,2.290207295808484,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,32_L1.D708: Nlrp3 KI_ASK1 Inhibitor liver #3P
GSM4183004,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.12998471690085,2.2876691833844554,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,33_L1.D709: Nlrp3 KI_ASK1 Inhibitor liver #4P
