family,metric,metric_order,species,fold,model_type,model_label,score,score_name
Cycle consistency,Gene-marginal mean,2,Human,7,FlowTransOP,FlowTransOP,0.9764057556465766,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,7,FlowTransOP,FlowTransOP,0.7106187202856564,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,7,permuted_both,Permuted both,-0.0027877562895065,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,7,permuted_both,Permuted both,-7.7782839029257e-4,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,7,permuted_human,Permuted human,-5.2086377622569e-4,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,7,permuted_human,Permuted human,9.7489011524873e-4,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,7,permuted_mouse,Permuted mouse,0.9813481779012304,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,7,permuted_mouse,Permuted mouse,0.7250044907867552,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,8,FlowTransOP,FlowTransOP,0.9758306965960564,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,8,FlowTransOP,FlowTransOP,0.70926914537057,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,8,permuted_both,Permuted both,-0.00302655292912748,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,8,permuted_both,Permuted both,-0.00142111949234024,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,8,permuted_human,Permuted human,-0.0014909172140177,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,8,permuted_human,Permuted human,-0.00507849937912132,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,8,permuted_mouse,Permuted mouse,0.984308932794391,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,8,permuted_mouse,Permuted mouse,0.7387613654864602,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,9,FlowTransOP,FlowTransOP,0.9833658150777064,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,9,FlowTransOP,FlowTransOP,0.740769866450658,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,9,permuted_both,Permuted both,-0.00323696086358104,Gene-marginal mean Pearson r
