fold,direction,tissue,feature_set,model_type,comparison,n_source,n_target,n_features,mmd,random_repeat
7,m2h,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5976468920707703,8.0
7,m2h,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.59909987449646,8.0
7,m2h,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5976464152336121,9.0
7,m2h,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.59909987449646,9.0
7,m2h,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_liver_target,10000,10000,37933,0.3046884536743164,
7,m2h,liver,orthologues,permuted_mouse,translated_liver_source_vs_liver_target,10000,10000,15666,0.33522677421569824,
7,m2h,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5985771417617798,0.0
7,m2h,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5938442945480347,0.0
7,m2h,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.598577618598938,1.0
7,m2h,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5938447117805481,1.0
7,m2h,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5985771417617798,2.0
7,m2h,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5938461422920227,2.0
7,m2h,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5985763669013977,3.0
7,m2h,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5938452482223511,3.0
7,m2h,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5985770225524902,4.0
7,m2h,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5938447713851929,4.0
7,m2h,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5985760688781738,5.0
7,m2h,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.593845546245575,5.0
7,m2h,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5985764861106873,6.0
7,m2h,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.593843936920166,6.0
7,m2h,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5985782742500305,7.0
7,m2h,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5938449501991272,7.0
7,m2h,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.598578691482544,8.0
7,m2h,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5938442945480347,8.0
7,m2h,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5985778570175171,9.0
7,m2h,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5938450694084167,9.0
7,m2h,liver,all_target_genes,permuted_human,translated_liver_source_vs_liver_target,10000,10000,37933,1.2319586277008057,
7,m2h,liver,orthologues,permuted_human,translated_liver_source_vs_liver_target,10000,10000,15666,1.2141536474227905,
7,m2h,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5877867937088013,0.0
7,m2h,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5858377814292908,0.0
7,m2h,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5877870321273804,1.0
7,m2h,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5858400464057922,1.0
7,m2h,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5877904295921326,2.0
7,m2h,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5858404636383057,2.0
7,m2h,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5877890586853027,3.0
7,m2h,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5858396887779236,3.0
7,m2h,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5877854228019714,4.0
7,m2h,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5858389139175415,4.0
7,m2h,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5877886414527893,5.0
7,m2h,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5858401656150818,5.0
7,m2h,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5877888798713684,6.0
7,m2h,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5858399271965027,6.0
7,m2h,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5877881646156311,7.0
7,m2h,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.585839033126831,7.0
7,m2h,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5877884030342102,8.0
7,m2h,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5858394503593445,8.0
7,m2h,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5877900719642639,9.0
