fold,direction,model_type,space,feature_set,comparison,n_source,n_target,n_features,centroid_euclidean,centroid_cosine,centroid_pearson,centroid_spearman,random_repeat,background_n,latent_space
5,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,21.180036544799805,-0.8361822366714478,-0.8361965417861938,-0.8400964597566978,6.0,1000.0,permuted_target_space
5,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,3.4530558586120605,0.06188314035534859,0.05975973606109619,0.0687688828234971,7.0,1000.0,normal_target_space
5,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,4.139781475067139,-0.24586409330368042,-0.24527308344841003,-0.2510249653814903,7.0,1000.0,normal_target_space
5,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.9499961137771606,0.9997454285621643,0.9997456073760986,0.9995697720328218,7.0,1000.0,permuted_target_space
5,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,53.02300262451172,-0.7521193623542786,-0.7523679733276367,-0.7375759604490678,7.0,1000.0,permuted_target_space
5,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.49958336353302,0.5406432151794434,0.5407052040100098,0.5384247576704317,7.0,1000.0,normal_target_space
5,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,1.8280407190322876,-0.009016335941851139,-0.007832899689674377,-0.03205940436136002,7.0,1000.0,normal_target_space
5,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.11522313207387924,0.9999829530715942,0.9999831318855286,0.9999584256016754,7.0,1000.0,permuted_target_space
5,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,21.17698860168457,-0.8362724184989929,-0.8362867832183838,-0.8401858670649226,7.0,1000.0,permuted_target_space
5,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,3.4874677658081055,0.06799408793449402,0.06436115503311157,0.060693525337315896,8.0,1000.0,normal_target_space
5,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,4.336731910705566,-0.3638298809528351,-0.3632012903690338,-0.3466358890948833,8.0,1000.0,normal_target_space
5,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.9094541072845459,0.9997718334197998,0.9997718930244446,0.9996173367207973,8.0,1000.0,permuted_target_space
5,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,53.030357360839844,-0.7520114779472351,-0.75225830078125,-0.7375226736933659,8.0,1000.0,permuted_target_space
5,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.5267279148101807,0.5391116142272949,0.539952278137207,0.5407033923278516,8.0,1000.0,normal_target_space
5,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,1.7472258806228638,0.17150557041168213,0.17209681868553162,0.13122131813552143,8.0,1000.0,normal_target_space
5,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.14119549095630646,0.9999744892120361,0.9999746084213257,0.9999449250981335,8.0,1000.0,permuted_target_space
5,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,21.170907974243164,-0.8364188075065613,-0.8364330530166626,-0.8403021859729232,8.0,1000.0,permuted_target_space
5,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,3.3354692459106445,0.2238679677248001,0.22057722508907318,0.21686010831874208,9.0,1000.0,normal_target_space
5,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,4.4283881187438965,-0.4649699926376343,-0.464579313993454,-0.44996239528616055,9.0,1000.0,normal_target_space
5,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.9169737696647644,0.9997699856758118,0.9997700452804565,0.9996129557626944,9.0,1000.0,permuted_target_space
5,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,53.0192985534668,-0.75185227394104,-0.7520995140075684,-0.7372790387784529,9.0,1000.0,permuted_target_space
5,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.487718939781189,0.5483263731002808,0.5489630699157715,0.5504174069591787,9.0,1000.0,normal_target_space
5,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,1.6802014112472534,0.14285215735435486,0.14366070926189423,0.10233381684805622,9.0,1000.0,normal_target_space
5,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.10552743822336197,0.9999867081642151,0.9999868869781494,0.9999661146301829,9.0,1000.0,permuted_target_space
5,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,21.16799545288086,-0.8359628915786743,-0.8359776735305786,-0.8399533186562296,9.0,1000.0,permuted_target_space
