iteration,variable,value,sample_size,feature_size,variable_name
21,pv_11,1.0000000026909157,32,64,X_1
22,pv_11,1.0000000345693314,32,64,X_1
23,pv_11,0.9999999688008586,32,64,X_1
24,pv_11,0.9999999305920998,32,64,X_1
25,pv_11,1.0000000004758356,32,64,X_1
26,pv_11,0.9999999772225968,32,64,X_1
27,pv_11,0.9999999935019201,32,64,X_1
28,pv_11,0.9999999913473344,32,64,X_1
29,pv_11,0.9999999932239362,32,64,X_1
0,pv_12,0.9999999546416766,32,64,X_1
1,pv_12,0.9999999691497313,32,64,X_1
2,pv_12,1.0000000413389072,32,64,X_1
3,pv_12,0.9999999836653286,32,64,X_1
4,pv_12,1.000000021346894,32,64,X_1
5,pv_12,0.999999969293924,32,64,X_1
6,pv_12,0.9999999607875208,32,64,X_1
7,pv_12,0.9999999953314856,32,64,X_1
8,pv_12,0.9999999624074193,32,64,X_1
9,pv_12,0.999999704198481,32,64,X_1
10,pv_12,0.9999999839349498,32,64,X_1
11,pv_12,1.0000000013283705,32,64,X_1
12,pv_12,0.9999999886471403,32,64,X_1
13,pv_12,0.9999999770591501,32,64,X_1
14,pv_12,0.9999999921518785,32,64,X_1
15,pv_12,0.9999999635794639,32,64,X_1
16,pv_12,1.0000000128295146,32,64,X_1
17,pv_12,0.9999999769222369,32,64,X_1
18,pv_12,1.0000000001585065,32,64,X_1
19,pv_12,1.0000000001884615,32,64,X_1
20,pv_12,1.0000000324463838,32,64,X_1
21,pv_12,0.9999999572229095,32,64,X_1
22,pv_12,0.999999991872175,32,64,X_1
23,pv_12,1.0000000203541894,32,64,X_1
24,pv_12,0.9999999984223842,32,64,X_1
25,pv_12,0.9999999744799059,32,64,X_1
26,pv_12,0.9999999738660671,32,64,X_1
27,pv_12,0.999999992366276,32,64,X_1
28,pv_12,1.000000025787697,32,64,X_1
29,pv_12,1.000000018135547,32,64,X_1
0,pv_13,1.000000011716664,32,64,X_1
1,pv_13,1.0000000182778785,32,64,X_1
2,pv_13,0.9999999730188078,32,64,X_1
3,pv_13,1.0000000355567098,32,64,X_1
4,pv_13,0.9999999672651263,32,64,X_1
5,pv_13,0.9999999775983297,32,64,X_1
6,pv_13,1.000000018440615,32,64,X_1
7,pv_13,0.9999999948804883,32,64,X_1
8,pv_13,1.000000014202524,32,64,X_1
9,pv_13,0.9999999397583192,32,64,X_1
10,pv_13,1.0000000088400984,32,64,X_1
11,pv_13,0.999999966572793,32,64,X_1
