fold,direction,feature_set,comparison,model_type,model_label,metric,value,lower_better
2,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Mean top-1 target cosine,0.9323468886882068,FALSE
2,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Mean top-k target cosine,0.9302822455734014,FALSE
2,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid distance,129.29278564453125,TRUE
2,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid cosine,0.9721381664276124,FALSE
2,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid Pearson,0.8550411462783813,FALSE
2,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid Spearman,0.8505204582745712,FALSE
2,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Mean top-1 target cosine,0.944389079284668,FALSE
2,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Mean top-k target cosine,0.9422354114413262,FALSE
2,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid distance,199.36138916015625,TRUE
2,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid cosine,0.9428402781486512,FALSE
2,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Pearson,0.8437929153442383,FALSE
2,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Spearman,0.8591936500780973,FALSE
2,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-1 target cosine,0.9869928897619248,FALSE
2,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-k target cosine,0.9865000090241433,FALSE
2,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid distance,178.8517303466797,TRUE
2,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid cosine,0.9479921460151672,FALSE
2,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Pearson,0.7341649532318115,FALSE
2,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Spearman,0.7293284011227914,FALSE
2,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-1 target cosine,0.9909917051553726,FALSE
2,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-k target cosine,0.9906059702634812,FALSE
2,Human to mouse,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid distance,517.8868408203125,TRUE
2,Human to mouse,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid cosine,0.6111118793487549,FALSE
2,Human to mouse,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Pearson,-0.00363418599590659,FALSE
2,Human to mouse,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Spearman,-0.00511443812239559,FALSE
