,itearation,variable,value,sample_size
300,0,x_11,0.9999999784016386,64
301,1,x_11,0.9999999723740343,64
302,2,x_11,0.9999999886650236,64
303,3,x_11,0.999992839916764,64
304,4,x_11,0.9999840620430666,64
305,5,x_11,0.9999999836921717,64
306,6,x_11,0.9999999737785661,64
307,7,x_11,0.9952543872993113,64
308,8,x_11,0.9996777145296974,64
309,9,x_11,0.9999941146046971,64
310,10,x_11,0.9999976973272494,64
311,11,x_11,0.9999957070374509,64
312,12,x_11,1.0000000045828619,64
313,13,x_11,0.9999999717321726,64
314,14,x_11,0.9999968233090815,64
315,15,x_11,0.9999974826465687,64
316,16,x_11,0.9999969526006385,64
317,17,x_11,0.9999099957428471,64
318,18,x_11,0.9999999860999764,64
319,19,x_11,0.9989974724552667,64
320,20,x_11,0.9855948512094314,64
321,21,x_11,0.9999999842715199,64
322,22,x_11,0.9999999966899323,64
323,23,x_11,0.9999999830258849,64
324,24,x_11,0.9999059204660289,64
325,25,x_11,0.999999964248462,64
326,26,x_11,0.9998732944562474,64
327,27,x_11,1.0000000082653568,64
328,28,x_11,0.9999999862252263,64
329,29,x_11,0.9999981990166241,64
330,0,x_12,0.9999999966510691,64
331,1,x_12,1.0000000000908305,64
332,2,x_12,0.9999999895701327,64
333,3,x_12,0.999996600525291,64
334,4,x_12,0.9999875269578655,64
335,5,x_12,0.9999999674227873,64
336,6,x_12,1.000000014485537,64
337,7,x_12,0.9997143572200675,64
338,8,x_12,0.997973357000394,64
339,9,x_12,0.9999865688314339,64
340,10,x_12,0.9999987352107651,64
341,11,x_12,0.9999975036145751,64
342,12,x_12,1.0000000188589169,64
343,13,x_12,0.999999943847062,64
344,14,x_12,0.9999837884217161,64
345,15,x_12,1.0000000098859745,64
346,16,x_12,0.9999992156582351,64
347,17,x_12,0.9994790763698667,64
348,18,x_12,0.9999995782253956,64
349,19,x_12,0.9999940543381859,64
350,20,x_12,0.9975246988687508,64
351,21,x_12,1.0000000013963637,64
352,22,x_12,1.0000000229031651,64
353,23,x_12,0.9999998711533937,64
354,24,x_12,0.998382842595759,64
355,25,x_12,0.999999444043035,64
356,26,x_12,0.9996077899941409,64
357,27,x_12,0.9999999823309434,64
358,28,x_12,0.9999999502347524,64
359,29,x_12,0.9999979356676388,64
360,0,x_13,1.0000000139206586,64
361,1,x_13,1.0000000014853747,64
362,2,x_13,1.0000000151331525,64
363,3,x_13,0.9999871833404026,64
364,4,x_13,0.9923191604712528,64
365,5,x_13,0.9999999986097732,64
366,6,x_13,1.0000000258874873,64
367,7,x_13,0.9998355856770001,64
368,8,x_13,0.9982355466832725,64
369,9,x_13,0.9999931706647326,64
370,10,x_13,0.9999915600286898,64
371,11,x_13,0.9999968325023665,64
372,12,x_13,0.9999999864774902,64
373,13,x_13,0.999999949255678,64
374,14,x_13,0.9999888300694323,64
375,15,x_13,1.0000000021960889,64
376,16,x_13,0.9999991181019066,64
377,17,x_13,0.9899922673769443,64
378,18,x_13,0.9999999820111328,64
379,19,x_13,0.9999797667994329,64
380,20,x_13,0.996401609043487,64
381,21,x_13,1.0000000189307958,64
382,22,x_13,0.9999999826091768,64
383,23,x_13,0.9999999580396467,64
384,24,x_13,0.9997465821841824,64
385,25,x_13,0.9999364259636143,64
386,26,x_13,0.994277032911072,64
387,27,x_13,0.9999999118976517,64
388,28,x_13,0.9999999950527807,64
389,29,x_13,0.9999988208138216,64
390,0,x_14,0.9999999825800959,64
391,1,x_14,0.9999999793079675,64
392,2,x_14,1.000000016470657,64
393,3,x_14,0.9999054116764978,64
394,4,x_14,0.9999061889620571,64
395,5,x_14,0.999999967102215,64
396,6,x_14,1.000000015282982,64
397,7,x_14,0.9907321836628808,64
398,8,x_14,0.9959409045593858,64
399,9,x_14,0.9999889143059091,64
400,10,x_14,0.9999928285223988,64
401,11,x_14,0.9999971827105865,64
402,12,x_14,1.0000000442837493,64
403,13,x_14,0.9999999242110381,64
404,14,x_14,0.9999994400598355,64
405,15,x_14,1.000000015460407,64
406,16,x_14,0.999996117084341,64
407,17,x_14,0.9994709358327984,64
408,18,x_14,0.9999999618284524,64
409,19,x_14,0.9999629476840214,64
410,20,x_14,0.9963820850904431,64
411,21,x_14,0.99999998819562,64
412,22,x_14,0.9999999863816668,64
413,23,x_14,0.9999999879398541,64
414,24,x_14,0.9990348206846729,64
415,25,x_14,0.9999476320976644,64
416,26,x_14,0.998531025476507,64
417,27,x_14,0.9999999464173378,64
418,28,x_14,0.9999999639686371,64
419,29,x_14,0.9999994696564705,64
420,0,x_15,0.9999999967628364,64
421,1,x_15,1.0000000191868144,64
422,2,x_15,1.0000000213739013,64
423,3,x_15,0.9998641037120298,64
424,4,x_15,0.9980544213116975,64
425,5,x_15,0.999999989279707,64
426,6,x_15,0.999999990072444,64
427,7,x_15,0.9999974784159962,64
428,8,x_15,0.9999912390066026,64
429,9,x_15,0.9999935940311272,64
430,10,x_15,0.9999990811514845,64
431,11,x_15,0.999984956753317,64
432,12,x_15,1.0000000260531046,64
433,13,x_15,0.9999998250689685,64
434,14,x_15,0.999999754461736,64
435,15,x_15,0.9999998668712904,64
436,16,x_15,0.9999963480245375,64
437,17,x_15,0.9970652941518146,64
438,18,x_15,0.9999969234581171,64
439,19,x_15,0.913564000854768,64
440,20,x_15,0.9976743615961381,64
441,21,x_15,0.999999994986206,64
442,22,x_15,0.9999999871765536,64
443,23,x_15,1.0000000015229549,64
444,24,x_15,0.9728828085449014,64
445,25,x_15,0.9999985969981885,64
446,26,x_15,0.9997891755409737,64
447,27,x_15,0.9999999975716422,64
448,28,x_15,0.999999979459043,64
449,29,x_15,0.999999879775046,64
450,0,x_16,0.9999999659849698,64
451,1,x_16,0.9999999841431653,64
452,2,x_16,1.0000000088861558,64
453,3,x_16,0.9999415565325939,64
454,4,x_16,0.999990852928771,64
455,5,x_16,1.0000000009020569,64
456,6,x_16,1.0000000036368102,64
457,7,x_16,0.9997230884837298,64
458,8,x_16,0.999995118455254,64
459,9,x_16,0.9999922903470353,64
460,10,x_16,0.9999989070576204,64
461,11,x_16,0.9999924665000579,64
462,12,x_16,1.000000001519987,64
463,13,x_16,0.9999996253652552,64
464,14,x_16,0.9999999228244459,64
465,15,x_16,0.9999998289122217,64
466,16,x_16,0.9999982383141501,64
467,17,x_16,0.9743044751097814,64
468,18,x_16,0.9999960697195968,64
469,19,x_16,0.8954047838513578,64
470,20,x_16,0.9996976735207945,64
471,21,x_16,0.9999999787774527,64
472,22,x_16,1.000000002807368,64
473,23,x_16,1.000000006611661,64
474,24,x_16,0.9734322890664084,64
475,25,x_16,0.9999963049140288,64
476,26,x_16,0.9887433264365151,64
477,27,x_16,0.9999999689398716,64
478,28,x_16,1.000000004530442,64
479,29,x_16,0.9999996381750671,64
480,0,x_17,0.9999999951649261,64
481,1,x_17,1.0000000061991365,64
482,2,x_17,1.0000000115537104,64
483,3,x_17,0.9999903024334502,64
484,4,x_17,0.9999920208167573,64
485,5,x_17,0.9999999828047108,64
486,6,x_17,1.0000000064761303,64
487,7,x_17,0.9980474158080443,64
488,8,x_17,0.9999790028668238,64
489,9,x_17,0.9999984329555516,64
490,10,x_17,0.9999997354873675,64
491,11,x_17,0.9982419414081526,64
492,12,x_17,1.0000000098311297,64
493,13,x_17,0.9999987655889768,64
494,14,x_17,0.9999960758536646,64
495,15,x_17,0.9999999915317167,64
496,16,x_17,0.9999983533744491,64
497,17,x_17,0.9633358878973869,64
498,18,x_17,0.9999991250719945,64
499,19,x_17,0.998595514290724,64
500,20,x_17,0.9984141654645505,64
501,21,x_17,0.9999999773570352,64
502,22,x_17,0.999999980904233,64
503,23,x_17,0.9999999963901136,64
504,24,x_17,0.9999743255901962,64
505,25,x_17,0.9999941126309531,64
506,26,x_17,0.9984909703246643,64
507,27,x_17,1.0000000305312267,64
508,28,x_17,0.9999995617715249,64
509,29,x_17,0.9984762581154625,64
510,0,x_18,0.9999999962933458,64
511,1,x_18,0.9999999874731628,64
512,2,x_18,0.9999999454025609,64
513,3,x_18,0.9999894790992843,64
514,4,x_18,0.9999844033777076,64
515,5,x_18,0.9999999901592641,64
516,6,x_18,0.9999999710709725,64
517,7,x_18,0.9988413258903797,64
518,8,x_18,0.993351006973834,64
519,9,x_18,0.9999294856300404,64
520,10,x_18,0.9999989913856503,64
521,11,x_18,0.9987512758258803,64
522,12,x_18,1.000000035110287,64
523,13,x_18,0.999999117337598,64
524,14,x_18,0.9999940344938791,64
525,15,x_18,1.0000000143342704,64
526,16,x_18,0.9999774612958388,64
527,17,x_18,0.9190029689893061,64
528,18,x_18,0.9999999609924805,64
529,19,x_18,0.999870747887383,64
530,20,x_18,0.9953672744583099,64
531,21,x_18,0.9999999845795856,64
532,22,x_18,0.9999999637884918,64
533,23,x_18,0.9999999908295721,64
534,24,x_18,0.9999478870639872,64
535,25,x_18,0.9999963579358355,64
536,26,x_18,0.9999973514119872,64
537,27,x_18,0.9999999778938068,64
538,28,x_18,0.9999996251888562,64
539,29,x_18,0.9999991100024347,64
540,0,x_19,1.0000000189857898,64
541,1,x_19,0.9999999898728846,64
542,2,x_19,0.9999999202089127,64
543,3,x_19,0.9999914056314154,64
544,4,x_19,0.9999971148242142,64
545,5,x_19,0.9999999675312183,64
546,6,x_19,0.9999999919383276,64
